Species,L/W ratio,"Leaf Height Including Petiole(cm)
",Top Leaf Angle,Base Leaf-Petiole Angle
Bridelia retusa,2.83,16.2,76,114
Psidium guajava,1.71,12.3,114,127
Capparis zeylanica,1.91,11.6,86,108
Bridelia retusa,2.41,15.3,87,136
Psidium guajava,1.44,11,125,137
Capparis zeylanica,1.7,11.2,96,109
Bridelia retusa,2.73,14.5,83,110
Psidium guajava,1.7,13.1,123,129
Capparis zeylanica,1.98,13.3,80,110
Bridelia retusa,2.2,14.2,81,140
Psidium guajava,1.46,10.6,120,134
Capparis zeylanica,2.07,12.8,115,93
Bridelia retusa,2.59,14.7,82,135
Psidium guajava,1.83,12.1,109,108
Capparis zeylanica,2.01,11.3,94,101
Bridelia retusa,2.44,14.9,102,120
Psidium guajava,1.75,11.4,118,99
Capparis zeylanica,2,11.2,77,102
Bridelia retusa,2,13.7,101,122
Psidium guajava,1.74,11.8,118,124
Capparis zeylanica,2.18,11.5,85,99
Bridelia retusa,2.55,14.4,82,135
Psidium guajava,10.8,9.9,105,129
Capparis zeylanica,1.78,10.2,115,93
Bridelia retusa,2.24,14.2,96,128
Psidium guajava,1.5,11.4,119,129
Capparis zeylanica,1.95,10.8,87,110
Bridelia retusa,2.19,14.8,83,114
Psidium guajava,1.86,12.6,108,121
Capparis zeylanica,2,9.5,81,100
Bridelia retusa,2.57,16.4,86,127
Psidium guajava,1.47,9.9,105,112
Capparis zeylanica,2.25,11.2,69,98
Bridelia retusa,2.37,15.5,106,129
Psidium guajava,1.47,11.1,124,119
Capparis zeylanica,2.04,10.4,93,100
Bridelia retusa,2.51,17.2,94,113
Psidium guajava,1.88,11.9,109,123
Capparis zeylanica,2.24,11.7,77,102
Bridelia retusa,2.65,18.9,100,123
Psidium guajava,1.81,12.8,114,105
Capparis zeylanica,2.25,10.5,67,110
Bridelia retusa,2.22,16.8,106,121
Psidium guajava,1.64,12.1,118,125
Capparis zeylanica,1.97,8.2,69,116
Bridelia retusa,2.05,16.2,120,135
Psidium guajava,1.54,10.2,109,116
Capparis zeylanica,1.92,8.6,80,115
Bridelia retusa,2.5,15.5,80,114
Psidium guajava,1.51,11.4,122,130
Bridelia retusa,2.35,15.8,90,122
Psidium guajava,1.56,11.2,117,130
Capparis zeylanica,1.88,10.7,85,111
Bridelia retusa,2.42,14.9,93,127
Psidium guajava,1.67,12,120,128
Capparis zeylanica,2,11.1,80,108
Bridelia retusa,2.65,15.4,88,133
Psidium guajava,1.6,11.6,112,122
Capparis zeylanica,1.92,10.5,92,110
Bridelia retusa,2.47,16,86,135
Psidium guajava,1.49,10.9,119,131
Capparis zeylanica,2.15,11.4,77,104
Bridelia retusa,2.51,14.5,95,129
Psidium guajava,1.7,12.3,115,127
Capparis zeylanica,2.1,10.2,84,113
Bridelia retusa,2.6,15.7,89,132
Psidium guajava,1.55,11,121,134
Capparis zeylanica,1.96,10.9,91,109
Bridelia retusa,2.38,14.8,87,126
Psidium guajava,1.65,12.1,118,125
Capparis zeylanica,2.05,11.2,78,106
Bridelia retusa,2.53,15.3,94,130
Psidium guajava,1.5,11.3,114,123
Capparis zeylanica,1.99,10.6,90,112
Bridelia retusa,2.83,16.2,76,114
Psidium guajava,1.71,12.3,114,127
Capparis zeylanica,1.91,11.6,86,108
Bridelia retusa,2.41,15.3,87,136
Psidium guajava,1.44,null,125,137
Capparis zeylanica,1.7,11.2,96,109
Bridelia retusa,2.73,14.5,83,110
Psidium guajava,1.7,13.1,123,129
Capparis zeylanica,null,13.3,80,110
Bridelia retusa,2.2,14.2,81,140
Psidium guajava,1.46,10.6,120,134
Capparis zeylanica,2.07,12.8,115,93
Bridelia retusa,2.59,14.7,82,135
Psidium guajava,null,9.9,109,108
Capparis zeylanica,2.01,11.3,94,101
